S1 spectrum
0.5 5.52121e-06
1.5 9.25997e-06
2.5 8.01673e-06
3.5 7.5323e-06
4.5 7.17648e-06
5.5 6.71634e-06
6.5 6.36861e-06
7.5 6.21666e-06
8.5 5.96944e-06
9.5 5.77891e-06
10.5 5.65697e-06
11.5 5.52407e-06
12.5 5.58504e-06
13.5 5.58695e-06
14.5 5.37974e-06
15.5 5.38641e-06
16.5 5.26447e-06
17.5 5.28066e-06
18.5 5.14157e-06
19.5 5.04964e-06
20.5 4.9215e-06
21.5 5.0263e-06
22.5 4.97914e-06
23.5 4.91531e-06
24.5 4.76145e-06
25.5 4.77574e-06
26.5 4.75955e-06
27.5 4.65333e-06
28.5 4.68476e-06
29.5 4.67952e-06
30.5 4.59902e-06
31.5 4.5914e-06
32.5 4.57616e-06
33.5 4.64904e-06
34.5 4.58426e-06
35.5 4.48518e-06
36.5 4.55615e-06
37.5 4.55615e-06
38.5 4.65476e-06
39.5 4.56235e-06
40.5 4.57664e-06
41.5 4.60903e-06
42.5 4.63427e-06
43.5 4.57568e-06
44.5 4.54567e-06
45.5 4.69191e-06
46.5 4.61808e-06
47.5 4.64856e-06
48.5 4.70239e-06
49.5 4.76288e-06
50.5 4.74669e-06
51.5 4.78956e-06
52.5 4.80671e-06
53.5 4.93198e-06
54.5 4.9115e-06
55.5 5.0082e-06
56.5 5.0887e-06
57.5 5.10394e-06
58.5 5.15538e-06
59.5 5.24255e-06
60.5 5.33353e-06
61.5 5.32115e-06
62.5 5.56265e-06
63.5 5.47691e-06
64.5 5.67316e-06
65.5 5.7489e-06
66.5 5.80749e-06
67.5 5.95277e-06
68.5 5.91466e-06
69.5 6.18379e-06
70.5 6.14283e-06
71.5 6.18903e-06
72.5 6.36671e-06
73.5 6.4453e-06
74.5 6.56058e-06
75.5 6.56153e-06
76.5 6.57582e-06
77.5 6.65822e-06
78.5 6.83352e-06
79.5 6.86305e-06
80.5 6.99499e-06
81.5 7.10312e-06
82.5 7.25031e-06
83.5 7.29604e-06
84.5 7.32891e-06
85.5 7.33462e-06
86.5 7.40369e-06
87.5 7.53373e-06
88.5 7.55707e-06
89.5 7.7114e-06
90.5 7.67473e-06
91.5 7.93719e-06
92.5 7.95005e-06
93.5 8.08295e-06
94.5 8.10867e-06
95.5 8.20775e-06
96.5 8.29634e-06
97.5 8.29301e-06
98.5 8.45306e-06
99.5 8.44925e-06
100.5 8.65312e-06
101.5 8.56357e-06
102.5 8.67503e-06
103.5 8.70885e-06
104.5 8.88843e-06
105.5 8.87414e-06
106.5 8.97893e-06
107.5 9.0823e-06
108.5 9.1728e-06
109.5 9.21091e-06
110.5 9.32571e-06
111.5 9.25473e-06
112.5 9.41669e-06
113.5 9.42335e-06
114.5 9.64009e-06
115.5 9.4405e-06
116.5 9.49385e-06
117.5 9.59007e-06
118.5 9.6982e-06
119.5 9.94018e-06
120.5 9.66343e-06
121.5 9.72869e-06
122.5 9.90064e-06
123.5 9.84205e-06
124.5 9.89731e-06
125.5 9.98924e-06
126.5 1.01255e-05
127.5 9.96447e-06
128.5 1.01055e-05
129.5 1.01321e-05
130.5 1.0176e-05
131.5 1.02465e-05
132.5 1.03117e-05
133.5 1.02889e-05
134.5 1.03417e-05
135.5 1.02579e-05
136.5 1.04289e-05
137.5 1.04346e-05
138.5 1.05051e-05
139.5 1.04508e-05
140.5 1.05832e-05
141.5 1.0668e-05
142.5 1.04899e-05
143.5 1.06252e-05
144.5 1.07271e-05
145.5 1.07485e-05
146.5 1.08628e-05
147.5 1.09176e-05
148.5 1.09476e-05
149.5 1.10267e-05
150.5 1.08757e-05
151.5 1.11163e-05
152.5 1.102e-05
153.5 1.11105e-05
154.5 1.10467e-05
155.5 1.12101e-05
156.5 1.12034e-05
157.5 1.13025e-05
158.5 1.14997e-05
159.5 1.12696e-05
160.5 1.12415e-05
161.5 1.14592e-05
162.5 1.14792e-05
163.5 1.1434e-05
164.5 1.15816e-05
165.5 1.16174e-05
166.5 1.16245e-05
167.5 1.16159e-05
168.5 1.16812e-05
169.5 1.17907e-05
170.5 1.17955e-05
171.5 1.18198e-05
172.5 1.19494e-05
173.5 1.19784e-05
174.5 1.2048e-05
175.5 1.21975e-05
176.5 1.20146e-05
177.5 1.20222e-05
178.5 1.21423e-05
179.5 1.22137e-05
180.5 1.22175e-05
181.5 1.21847e-05
182.5 1.24962e-05
183.5 1.22733e-05
184.5 1.2318e-05
185.5 1.25043e-05
186.5 1.23714e-05
187.5 1.24905e-05
188.5 1.25862e-05
189.5 1.26548e-05
190.5 1.27796e-05
191.5 1.26272e-05
192.5 1.26367e-05
193.5 1.27891e-05
194.5 1.27415e-05
195.5 1.26853e-05
196.5 1.28068e-05
197.5 1.29178e-05
198.5 1.28973e-05
199.5 1.28615e-05
200.5 1.29573e-05
201.5 1.30335e-05
202.5 1.2994e-05
203.5 1.30935e-05
204.5 1.30673e-05
205.5 1.29954e-05
206.5 1.3044e-05
207.5 1.31302e-05
208.5 1.3155e-05
209.5 1.32326e-05
210.5 1.32379e-05
211.5 1.32274e-05
212.5 1.33346e-05
213.5 1.33317e-05
214.5 1.34136e-05
215.5 1.32736e-05
216.5 1.34875e-05
217.5 1.33641e-05
218.5 1.34127e-05
219.5 1.33684e-05
220.5 1.34451e-05
221.5 1.36246e-05
222.5 1.3385e-05
223.5 1.34941e-05
224.5 1.35408e-05
225.5 1.34517e-05
226.5 1.36785e-05
227.5 1.35084e-05
228.5 1.35203e-05
229.5 1.3648e-05
230.5 1.3769e-05
231.5 1.37294e-05
232.5 1.35851e-05
233.5 1.37042e-05
234.5 1.36718e-05
235.5 1.39724e-05
236.5 1.37904e-05
237.5 1.37337e-05
238.5 1.38423e-05
239.5 1.38928e-05
240.5 1.38123e-05
241.5 1.38776e-05
242.5 1.3859e-05
243.5 1.37309e-05
244.5 1.40186e-05
245.5 1.40176e-05
246.5 1.39905e-05
247.5 1.38118e-05
248.5 1.38642e-05
249.5 1.39552e-05
250.5 1.37952e-05
251.5 1.39428e-05
252.5 1.40848e-05
253.5 1.39647e-05
254.5 1.39424e-05
255.5 1.39357e-05
256.5 1.41377e-05
257.5 1.407e-05
258.5 1.38819e-05
