S1 spectrum
0.5 2.84389e-07
1.5 4.55624e-07
2.5 3.04057e-07
3.5 2.15496e-07
4.5 1.5727e-07
5.5 1.21146e-07
6.5 9.48159e-08
7.5 8.00073e-08
8.5 6.82971e-08
9.5 5.8352e-08
10.5 5.10204e-08
11.5 4.40282e-08
12.5 4.0314e-08
13.5 3.66385e-08
14.5 3.34382e-08
15.5 3.07519e-08
16.5 2.78959e-08
17.5 2.56314e-08
18.5 2.39731e-08
19.5 2.1665e-08
20.5 2.09134e-08
21.5 1.95266e-08
22.5 1.81932e-08
23.5 1.7524e-08
24.5 1.59481e-08
25.5 1.54293e-08
26.5 1.46389e-08
27.5 1.38243e-08
28.5 1.29903e-08
29.5 1.21223e-08
30.5 1.13756e-08
31.5 1.08325e-08
32.5 1.06531e-08
33.5 9.98394e-09
34.5 1.01536e-08
35.5 9.29539e-09
36.5 8.86868e-09
37.5 8.7911e-09
38.5 8.18983e-09
39.5 8.3256e-09
40.5 7.78737e-09
41.5 7.76313e-09
42.5 7.64675e-09
43.5 7.30248e-09
44.5 6.82729e-09
45.5 6.41998e-09
46.5 6.61393e-09
47.5 6.10964e-09
48.5 6.18238e-09
49.5 5.83811e-09
50.5 5.81386e-09
51.5 5.8769e-09
52.5 5.49868e-09
53.5 5.20774e-09
54.5 4.99924e-09
55.5 4.94105e-09
56.5 4.78589e-09
57.5 4.63557e-09
58.5 4.18462e-09
59.5 4.48525e-09
60.5 4.0731e-09
61.5 4.08764e-09
62.5 3.8258e-09
63.5 3.72397e-09
64.5 3.74337e-09
65.5 3.70458e-09
66.5 3.34091e-09
67.5 3.55426e-09
68.5 3.44274e-09
69.5 3.1712e-09
70.5 3.26818e-09
71.5 3.13725e-09
72.5 2.83662e-09
73.5 2.74934e-09
74.5 3.09846e-09
75.5 2.70085e-09
76.5 2.60387e-09
77.5 2.61357e-09
78.5 2.4584e-09
79.5 2.36143e-09
80.5 2.63781e-09
81.5 2.53599e-09
82.5 2.2596e-09
83.5 2.36143e-09
84.5 2.18686e-09
85.5 1.98321e-09
86.5 2.08019e-09
87.5 2.10443e-09
88.5 2.07534e-09
89.5 1.92017e-09
90.5 1.83774e-09
91.5 1.88138e-09
92.5 1.8135e-09
93.5 1.95412e-09
94.5 1.53711e-09
95.5 1.52741e-09
96.5 1.52256e-09
97.5 1.66803e-09
98.5 1.37709e-09
99.5 1.51771e-09
100.5 1.42073e-09
101.5 1.27042e-09
102.5 1.29951e-09
103.5 1.52256e-09
104.5 1.18314e-09
105.5 1.20738e-09
106.5 1.1492e-09
107.5 1.27527e-09
108.5 1.1298e-09
109.5 1.06191e-09
110.5 9.60087e-10
111.5 1.00858e-09
112.5 1.05222e-09
113.5 1.00858e-09
114.5 9.74634e-10
115.5 9.30994e-10
116.5 8.63109e-10
117.5 7.61281e-10
118.5 8.0977e-10
119.5 8.72806e-10
120.5 7.75828e-10
121.5 8.29166e-10
122.5 7.90375e-10
123.5 7.85526e-10
124.5 7.27339e-10
125.5 6.69152e-10
126.5 7.07943e-10
127.5 6.06116e-10
128.5 6.06116e-10
129.5 7.12792e-10
130.5 6.20662e-10
131.5 5.4308e-10
132.5 6.49756e-10
133.5 6.10964e-10
134.5 5.8672e-10
135.5 4.70346e-10
136.5 6.3036e-10
137.5 5.28533e-10
138.5 4.99439e-10
139.5 5.28533e-10
140.5 4.84892e-10
141.5 5.28533e-10
142.5 3.68518e-10
143.5 3.83065e-10
144.5 4.26705e-10
145.5 3.97612e-10
146.5 4.65497e-10
147.5 4.5095e-10
148.5 3.49123e-10
149.5 3.63669e-10
150.5 4.55799e-10
151.5 4.41252e-10
152.5 3.1518e-10
153.5 3.44274e-10
154.5 3.00633e-10
155.5 3.00633e-10
156.5 3.5882e-10
157.5 3.34576e-10
158.5 3.73367e-10
159.5 3.5882e-10
160.5 2.61842e-10
161.5 2.81238e-10
162.5 2.90935e-10
163.5 2.66691e-10
164.5 2.61842e-10
165.5 3.00633e-10
166.5 2.18202e-10
167.5 2.76389e-10
168.5 2.27899e-10
169.5 1.98806e-10
170.5 1.74561e-10
171.5 2.13353e-10
172.5 2.37597e-10
173.5 2.18202e-10
174.5 2.56993e-10
175.5 2.08504e-10
176.5 1.98806e-10
177.5 1.93957e-10
178.5 1.74561e-10
179.5 1.64863e-10
180.5 2.27899e-10
181.5 2.32748e-10
182.5 1.16374e-10
183.5 1.74561e-10
184.5 1.84259e-10
185.5 1.21223e-10
186.5 1.84259e-10
187.5 2.13353e-10
188.5 1.69712e-10
189.5 1.45468e-10
190.5 1.60015e-10
191.5 1.06676e-10
192.5 1.3577e-10
193.5 1.26072e-10
194.5 1.26072e-10
195.5 1.3577e-10
196.5 1.21223e-10
197.5 1.89108e-10
198.5 9.69785e-11
199.5 1.40619e-10
