S1 spectrum
0.5 4.21841
1.5 7.69405
2.5 6.643
3.5 5.8536
4.5 5.12992
5.5 4.55767
6.5 4.02772
7.5 3.65998
8.5 3.28892
9.5 2.99215
10.5 2.74634
11.5 2.51068
12.5 2.29344
13.5 2.11077
14.5 1.94644
15.5 1.8116
16.5 1.65501
17.5 1.53741
18.5 1.44082
19.5 1.33004
20.5 1.24073
21.5 1.11824
22.5 1.05511
23.5 0.984786
24.5 0.91428
25.5 0.844326
26.5 0.804419
27.5 0.716677
28.5 0.689304
29.5 0.638337
30.5 0.577416
31.5 0.557047
32.5 0.509766
33.5 0.471518
34.5 0.45244
35.5 0.406173
36.5 0.383039
37.5 0.349675
38.5 0.328293
39.5 0.305897
40.5 0.289768
41.5 0.26516
42.5 0.250505
43.5 0.230874
44.5 0.216035
45.5 0.196865
46.5 0.18599
47.5 0.164699
48.5 0.156773
49.5 0.139999
50.5 0.140552
51.5 0.127004
52.5 0.114746
53.5 0.110045
54.5 0.103225
55.5 0.0921653
56.5 0.0799073
57.5 0.0788935
58.5 0.0771424
59.5 0.0739166
60.5 0.0625802
61.5 0.0571425
62.5 0.0543775
63.5 0.0517047
64.5 0.0504144
65.5 0.0454375
66.5 0.0434099
67.5 0.0365896
68.5 0.0354836
69.5 0.0313362
70.5 0.0298616
71.5 0.0279261
72.5 0.0257141
73.5 0.024516
74.5 0.022304
75.5 0.0190782
76.5 0.0166819
77.5 0.0166819
78.5 0.0178801
79.5 0.011705
80.5 0.0140091
81.5 0.0124423
82.5 0.010599
83.5 0.00774189
84.5 0.00801838
85.5 0.00866354
86.5 0.00709673
87.5 0.00764972
88.5 0.00580641
89.5 0.00543775
90.5 0.00525342
91.5 0.00562208
92.5 0.0045161
93.5 0.00387094
94.5 0.00470043
95.5 0.00230413
96.5 0.00341012
97.5 0.00258063
98.5 0.00221197
99.5 0.00248846
100.5 0.0021198
101.5 0.00156681
102.5 0.00184331
103.5 0.00230413
104.5 0.00147464
105.5 0.000737322
106.5 0.000552992
107.5 0.00165898
108.5 0.00110598
109.5 0.00138248
110.5 0.000645157
111.5 0.000552992
112.5 0.000737322
113.5 0.000184331
114.5 0.000552992
115.5 0.000276496
116.5 0.000737322
117.5 0.000552992
118.5 0.000460827
119.5 9.21653e-05
120.5 0.000184331
121.5 9.21653e-05
122.5 0.000368661
123.5 0.000276496
124.5 9.21653e-05
125.5 0
126.5 9.21653e-05
127.5 0.000276496
128.5 9.21653e-05
129.5 0
130.5 9.21653e-05
131.5 0.000184331
132.5 0
133.5 0
134.5 0
135.5 9.21653e-05
136.5 0
137.5 0
138.5 0
139.5 0
140.5 0
141.5 0
142.5 0.000184331
143.5 0
144.5 0
145.5 0
146.5 0
147.5 0
148.5 0
149.5 0
150.5 0
151.5 0
152.5 0
153.5 0
154.5 0
155.5 0
156.5 0
157.5 0
158.5 0
159.5 0
160.5 0
161.5 0
162.5 0
163.5 0
164.5 0
165.5 0
166.5 0
167.5 0
168.5 0
169.5 0
170.5 0
171.5 0
172.5 0
173.5 0
174.5 0
175.5 0
176.5 0
177.5 0
178.5 0
179.5 0
180.5 0
181.5 0
182.5 0
183.5 0
184.5 0
185.5 0
186.5 0
187.5 0
188.5 0
189.5 0
190.5 0
191.5 0
192.5 0
193.5 0
194.5 0
195.5 0
196.5 0
197.5 0
198.5 0
199.5 0
